name,club,position,overall_rating,photo_url
Матвей Сафонов,ПСЖ,GK,80,
Денис Адамов,Зенит,GK,70,
Антон Митрюшкин,Локомотив,GK,70,
Станислав Агкацев,Краснодар,GK,74,
Максим Бориско,Балтика,GK,66,
Александр Силянов,Локомотив,RB,74,
Евгений Морозов,Локомотив,CB,70,
Илья Вахания,Ростов,RB,69,
Виктор Мелехин,Ростов,CB,69,
Руслан Литвинов,Спартак,CB,72,
Валентин Палцев,Краснодар,CB,69,
Игорь Дивеев,Зенит,CB,76,
Данил Круговой,ЦСКА,LB,72,
Мингиян Бевеев,Балтика,RB,66,
Данил Пруцев,Локомотив,CM,72,
Алексей Батраков,Локомотив,CAM,80,
Матвей Кисляк,ЦСКА,CM,79,
Иван Обляков,ЦСКА,CM,77,
Дмитрий Баринов,ЦСКА,CDM,76,
Кирилл Глебов,ЦСКА,RW,75,
Наиль Умяров,Спартак,CDM,74,
Даниил Фомин,Динамо,CDM,75,
Ярослав Гладышев,Динамо,LW,71,
Максим Глушенков,Зенит,LW,78,
Максим Петров,Балтика,CM,65,
Лечи Садулаев,Ахмат,LW,70,
Александр Головин,Монако,CAM,82,
Константин Тюкавин,Динамо,ST,78,
Дмитрий Воробьев,Локомотив,ST,72,
Николай Комличенко,Локомотив,ST,70,
Георгий Мелкадзе,Ахмат,ST,66,
